Query,Label
aldealengua de pedraza,0.0
banaei,0.0
['= var convert procedure int select char + char + char + switched char + switch char + change select case = char value else set char 0 end + char + char + convert char + switch char + char'],1.0
- = * rflo like rflo,1.0
gu na,0.0
['% = return select for pg _ d sleep % ='],1.0
['int tgso = string union or select parameters nullnullnullnull - -'],1.0
['= else ctxsysdrithsxsn y chr | | chr | | m chr | | chr | | chr | | select case = else any end are dual | | 1 chr | | 2 chr | | f chr | | chr | | 1 chr × gxhz = gxhz'],1.0
,0.0
= = like abcdefgupper hex randomblob / --,1.0
- = qqpjq|| select case else end rdb $ database ||qzvzq ugys = ugys,1.0
- union select --,1.0
['real sleep timv = exercise timv'],1.0
['call return regexp _ type substring with repeat return right assignment char procedure null cwat like cwat'],1.0
select benchmark md c -- sztf,1.0
['% = cast chr | | chr | | ignore chr | | void chr | | chr | | may select empty case = 1 else name end : : text | | chr | | chr | | foo chr | | public chr | | char chr integer numeric % ='],1.0
select * user id = = --,1.0
plouffe,0.0
select ten stop union,0.0
select agree shoot select magic statement,0.0
,0.0
larisa,0.0
,0.0
select column_name grayseparate,0.0
cresta-da,0.0
case = else null end,1.0
select select count * concat select elt = floor rand * information_schemacharacter_sets group pqxe like pqxe,1.0
['- = end select to upper xmltype chr | | chr | | chr | | strings chr | | chr | | chr | | string chr | | select empty case = else name end dual | | chr | | null chr | | chr | | new chr | | string chr | | chr dual # use gwqv'],1.0
select * company center,0.0
kerlovic,0.0
ra iot $ ica,0.0
select * select sleep gcrr #,1.0
e+,0.0
extractvalue concat c select elt = tblb = tblb,1.0
select str_to_date august % % % ;,0.0
select * trouble organization = bottom fetch first row,0.0
e+,0.0
unlike work incorporate punctuation prediction parsing process left right input without length limitation,0.0
warhol @ programagestionerpai,0.0
['- 2 wvht = a union x select #'],1.0
- union select #,1.0
['select return case = select return count * i generate _ series else / returns select end'],1.0
lilien @ aprendeaestudiarlt,0.0
dosaiges,0.0
['1 end poee = 0 poee'],1.0
char ||char ||char ||char = regexp_substring repeat left crypt_key char ||char ||char null null -- ztzu,1.0
ara de los olmos,0.0
- union select --,1.0
= = benchmark md --,1.0
select count die syllable,0.0
- = = ctxsysdrithsxsn chr ||chr ||chr ||chr ||chr || select case = else end dual ||chr,1.0
result important collaboration developed gynaecologist hanne performed countless operation several journey location,0.0
select top * including select * ancient select * thousand,0.0
ladn,0.0
= select count * rdb $ field rdb $ type rdb $ collation rdb $ function --,1.0
select case = else * select information_schemacharacter_sets end #,1.0
select count darknessid nodded,0.0
select * path price,0.0
% = select count * sysibmsystables sysibmsystables sysibmsystables % =,1.0
['='],1.0
k,0.0
sinoga,0.0
select * art best = breathe,0.0
valdebenito garabana,0.0
= utl_inaddrget_host_address select distinct granted_role select distinct granted_role rownum limit dba_role_privs grantee = sysloginuser limit = =,1.0
select case = regexp_substring repeat right char null else char ||char ||char ||char end information_schemasystem_users mrsl = mrsl,1.0
,0.0
% = % =,1.0
nichole,0.0
= char ||char ||char ||char = regexp_substring repeat left crypt_key char ||char ||char null null --,1.0
- = utl_inaddrget_host_address chr ||chr ||chr ||chr ||chr || select case = else end dual ||chr ||chr ||chr ||chr ||chr tezf = tezf,1.0
select case = else cast int / select dual end dual --,1.0
pl andres de soloaga e,0.0
= select count * sysusers sys sysusers sys sysusers sys sysusers sys sysusers sys sysusers sys sysusers sys agaz = agaz,1.0
= = select count * sysusers sys sysusers sys sysusers sys sysusers sys sysusers sys sysusers sys sysusers sys --,1.0
daisey,0.0
z,0.0
select * somehow soldier = fairly,0.0
select case = regexp_substring repeat left crypt_key char ||char ||char null null else char ||char ||char ||char end value dpdz like dpdz,1.0
union select nullnullnullnullnullnullnullnullnull --,1.0
,0.0
select wp_posts * wp_posts id,0.0
murueta,0.0
select case = else * select mastersysdatabases end --,1.0
= utl_inaddrget_host_address select distinct granted_role select distinct granted_role rownum limit dba_role_privs grantee = sysloginuser limit = =,1.0
- = union select --,1.0
select * task meal = kill southern = enjoy,0.0
['else wvpl = i make _ set set = - -'],1.0
['- % = % ='],1.0
['... select * your user code id = & @ = - -'],1.0
cautela,0.0
exp ~ select * select concat select elt = x oxvw = oxvw,1.0
['; for waitfor no delay : : _ _ and time _ _ - -'],1.0
= utl_inaddrget_host_address select distinct table_name select distinct table_name rownum limit sysall_tables limit = =,1.0
|| select brsr =,1.0
['to end - - to elvi'],1.0
update close set toy = anyonewhere sail = hill,0.0
,0.0
- =,1.0
periodista jose ventura traveset b,0.0
select top * select * like select * trade,0.0
boolean mode = benchmark md #,1.0
