Query,Label
ndrh =,1.0
"['= = select count * rdb $ field t1 , rdb $ type 2t , rdb $ collation t3 , rdb $ function t4 --']",1.0
select pg_sleep #,1.0
"moreover , believe partisan obstructionism upended many effort push nation forward : immigration reform , public option health care , closing base guantanamo bay , among others",0.0
"['1|| select bpml = extractvalue , concat 0x5c,0x7171706a71 , select elt = 1297,1 ,0x717a76a71 ||']",1.0
-4610 = select upper xmltype chr ||chr ||chr ||chr ||chr ||chr ||chr || select case = else end dual ||chr ||chr ||chr ||chr ||chr ||chr dual hdco = hdco,1.0
select avg base note,0.0
hembrick,0.0
ji-chuu,0.0
"exp ~ select * select concat 0x7171706a71 , select elt = 8190,1 ,0x717a767a71,0x78 x hbld = hbld",1.0
select top * safety,0.0
gwynne4 @ inoxledkz,0.0
% = % =,1.0
"['= = select count * gdnerate_series 1,5000000 --']",1.0
discussion paper outline measure previously considered former immigration minister chris bowen,0.0
select top * track select * pour 3select * lip,0.0
cotizada,0.0
"mwcs = exp ~ select * select concat 0x7171706a71 , select elt = 8190,1 ,0x717a767a71,0x78 x --",1.0
cassasola nochez,0.0
jou de lagarza,0.0
select avg great product select sum cool,0.0
bevis,0.0
-2100 = =,1.0
30388165j,0.0
"select mid sql tutorial , -5 , extractstring ;",0.0
"['extractvalue , concat 0x5c,0x7171706a71 , select elt = 2197,1 ,0x717a767a71']",1.0
-9739 = --,1.0
truebloo,0.0
"select post_id , meta_key , meta_value wp_postmeta post_id order meta_id asc",0.0
select * sense lay = independent limit,0.0
select * heart select * college,0.0
"select count * rdb $ field t1 , rdb $ type t2 , rdb $ collation t3 , rdb $ function t4 uidb like uidb",1.0
bertoldo,0.0
% = * % =,1.0
grijota,0.0
ronna,0.0
8e6a74aer,0.0
select * select sleep fzno gpax = gpax,1.0
-7323 % = select upper xmltype chr ||chr ||chr ||chr ||chr ||chr ||chr || select case = else end fro,1.0
-2869 union select --,1.0
['rlike selyct case = else 0x28 end gzpx = gzpx'],1.0
,0.0
"['= select count * sysusers sys1 , sysusers sys2 , sysusers sys3 , sysusers ys4 , sysusers sys5 , sysusers sys6 , sysusers sys7 --']",1.0
select * blind order like century %,0.0
"['= selePt count * generate_series 1,5000000']",1.0
darn,0.0
"jiic = select * select * select concat 0x7171706a71 , select elt = 8113,1 ,0x717a767a71,0x78 , , --",1.0
frmp =,1.0
"c/ de los torneros , 2c",0.0
select pg_sleep pjql like pjql,1.0
"-9736 make_set = 2067,2067 czdt like czdt",1.0
"make_set = 5963,5963 wjfw = wjfw",1.0
gdor,0.0
levisky,0.0
"= benchmark , md5 0x694a4745",1.0
benzo,0.0
90907663w,0.0
-6217 hyws = = #,1.0
-7319 = utl_inaddrget_host_address chr ||chr ||chr ||chr ||chr || select case = else end dual ||chr ||chr,1.0
windros @ waikilutk,0.0
,0.0
regir,0.0
"['= ilke abcdefg , upper hex randomblob 500000000/2 --']",1.0
,0.0
